               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074529,            0.026486,            0.024778,             0.49711,             0.59417,             0.50637,              0.1782,            0.055011,            0.010627,           0.0053593,            0.070044,           0.0033284,           0.0033284
                   1,            0.054554,            0.018559,           0.0084446,             0.86338,              0.8116,             0.88079,             0.42272,            0.036651,           0.0095258,           0.0035927,            0.039102,           0.0057196,           0.0057196
                   2,            0.049707,            0.016747,           0.0068918,               0.845,             0.78645,             0.85315,             0.29191,            0.047064,            0.009007,           0.0029451,           0.0072172,           0.0071679,           0.0071679
                   3,            0.045428,            0.016207,           0.0057512,             0.90388,               0.832,             0.88822,             0.31524,            0.043922,             0.00872,           0.0024772,           0.0057571,           0.0057571,           0.0057571
                   4,            0.043403,            0.015838,           0.0052071,             0.93986,             0.85884,             0.92979,             0.43815,            0.037475,           0.0086097,           0.0022544,           0.0057571,           0.0057571,           0.0057571
                   5,            0.041279,            0.015497,           0.0042032,             0.94324,              0.9014,             0.94863,             0.46237,            0.035426,           0.0082995,            0.001795,           0.0043429,           0.0043429,           0.0043429
                   6,            0.039125,            0.015057,           0.0035839,             0.94128,             0.91778,             0.94276,             0.43968,             0.03553,           0.0081405,           0.0016811,           0.0029286,           0.0029286,           0.0029286
